Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-HERZ-91;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: Notiz, handschriftlich";12.11.1930;Daten fehlen;1 Bl./1 S.;Deutsch;93633
B-I-HERZ-92;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;13.02.1931;Daten fehlen;1 Bl./1 S.;Deutsch;53780
B-I-HERZ-93;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;04.03.1931;Daten fehlen;1 Bl./2 S.;Deutsch;86764
B-I-HERZ-94;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;04.04.1931;Daten fehlen;1 Karte/2 S.;Deutsch;47207
B-I-HERZ-95;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;02.05.1931;Daten fehlen;1 Bl./1 S.;Deutsch;77964
B-I-HERZ-96;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich
Brief irrt�mlich datiert auf 01.05.1931, Monat mit Bleistift durchgestrichen und handschriftlich korrigiert";01.06.1931;Brief irrt�mlich datiert auf 01.05.1931;1 Bl./2 S.;Deutsch;108124
B-I-HERZ-97;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: handschriftlicher Nachtrag";09.06.1931;Daten fehlen;1 Bl./1 S.;Deutsch;131096
B-I-HERZ-98;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: mit einem handschriftlich erg�nzten Satz";21.06.1931;Daten fehlen;1 Bl./1 S.;Deutsch;83552
B-I-HERZ-99;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Nidden, handschriftlich;20.07.1931;Daten fehlen;1 Karte/1 S.;Deutsch;114568
B-I-HERZ-100;Thomas Mann an Ida Herz;Brief, Original, aus Nidden, handschriftlich;13.08.1931;Daten fehlen;1 Bl./1 S.;Deutsch;47646
B-I-HERZ-101;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;12.09.1931;Daten fehlen;1 Karte/2 S.;Deutsch;36938
B-I-HERZ-102;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;27.09.1931;Daten fehlen;2 Bl./4 S.;Deutsch;109266
B-I-HERZ-103;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;10.11.1931;Daten fehlen;1 Bl./2 S.;Deutsch;123987
B-I-HERZ-104;Thomas Mann an Ida Herz;Briefkarte, Original, aus M�nchen, handschriftlich;02.12.1931;Daten fehlen;1 Karte/2 S.;Deutsch;75834
B-I-HERZ-105;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;11.01.1932;Daten fehlen;1 Bl./1 S.;Deutsch;139503
B-I-HERZ-106;Thomas Mann an Ida Herz;Postkarte, Original, aus St. Moritz, Hotel Chantarella, handschriftlich;05.02.1932;Daten fehlen;1 Karte/2 S.;Deutsch;142236
B-I-HERZ-107;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;12.03.1932;Daten fehlen;1 Karte/2 S.;Deutsch;35106
B-I-HERZ-108;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;15.04.1932;Daten fehlen;1 Bl./2 S.;Deutsch;131939
B-I-HERZ-109;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;28.04.1932;Daten fehlen;1 Bl./1 S.;Deutsch;46701
B-I-HERZ-110;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, handschriftlich. 
Zus�tzlich vermerkt: kurze Bleistift-Notiz am unteren Briefrand";16.05.1932;Daten fehlen;1 Bl./1 S.;Deutsch;59083
B-I-HERZ-111;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;23.05.1932;Daten fehlen;1 Bl./2 S.;Deutsch;83615
B-I-HERZ-112;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;07.06.1932;Daten fehlen;1 Bl./1 S.;Deutsch;75817
B-I-HERZ-113;Thomas Mann an Ida Herz;Postkarte, Original, aus Nidden, handschriftlich;11.07.1932;Daten fehlen;1 Karte/2 S.;Deutsch;24776
B-I-HERZ-114;Thomas Mann an Ida Herz;Postkarte, Original, aus Nidden, handschriftlich;26.08.1932;Daten fehlen;1 Karte/2 S.;Deutsch;77576
B-I-HERZ-115;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: handschriftlicher Nachtrag";24.09.1932;Daten fehlen;1 Bl./1 S.;Deutsch;34607
B-I-HERZ-116;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;17.10.1932;Daten fehlen;1 Karte/2 S.;Deutsch;71689
B-I-HERZ-117;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;27.10.1932;Daten fehlen;1 Karte/2 S.;Deutsch;86946
B-I-HERZ-118;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;15.11.1932;Daten fehlen;1 Bl./2 S.;Deutsch;131177
B-I-HERZ-119;Thomas Mann an Ida Herz;"Brief, Original, aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: handschriftlicher Nachtrag";15.12.1932;Daten fehlen;1 Bl./1 S.;Deutsch;33838
B-I-HERZ-120;Thomas Mann an Ida Herz;Briefkarte, Original, aus M�nchen, handschriftlich;27.12.1932;Daten fehlen;1 Karte/2 S.;Deutsch;113870
B-I-HERZ-121;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, maschinenschriftlich;13.01.1933;Daten fehlen;1 Bl./1 S.;Deutsch;78724
B-I-HERZ-122;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;21.01.1933;Daten fehlen;1 Karte/2 S.;Deutsch;113424
B-I-HERZ-123;Thomas Mann an Ida Herz;Postkarte, Original, aus M�nchen, handschriftlich;29.01.1933;Daten fehlen;1 Karte/2 S.;Deutsch;142834
B-I-HERZ-124;Thomas Mann an Ida Herz;Brief, Original, aus M�nchen, handschriftlich;08.02.1933;Daten fehlen;1 Bl./1 S.;Deutsch;55609
B-I-HERZ-125;Thomas Mann an Ida Herz;Brief, Original, aus Arosa, handschriftlich;28.02.1933;Daten fehlen;1 Bl./1 S.;Deutsch;76580
B-I-HERZ-126;Thomas Mann an Ida Herz;Brief, Original, aus Arosa, handschriftlich;10.03.1933;Daten fehlen;2 Bl./2 S.;Deutsch;124157
B-I-HERZ-127;Thomas Mann an Ida Herz;Brief, Original, aus Lenzerheide, handschriftlich;22.03.1933;Daten fehlen;1 Bl./2 S.;Deutsch;131028
B-I-HERZ-128;Thomas Mann an Ida Herz;Brief, Original, aus Lugano, handschriftlich;01.04.1933;Daten fehlen;1 Bl./2 S.;Deutsch;63600
B-I-HERZ-129;Thomas Mann an Ida Herz;Brief, Original, aus Lugano, handschriftlich;11.04.1933;Daten fehlen;1 Bl./2 S.;Deutsch;137340
B-I-HERZ-130;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Lugano, handschriftlich;16.04.1933;Daten fehlen;1 Karte/2 S.;Deutsch;69998
B-I-HERZ-131;Thomas Mann an Ida Herz;Brief, Original, aus Lugano, maschinenschriftlich;24.04.1933;Daten fehlen;1 Bl./2 S.;Deutsch;68161
B-I-HERZ-132;Thomas Mann an Ida Herz;"Brief, Original, aus B�le [Basel], handschriftlich. 
Briefumschlag";03.05.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;29937
B-I-HERZ-133;Thomas Mann an Ida Herz;"Brief, Original, aus Bandol sur Mer, handschriftlich.
Briefumschlag";19.05.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;126302
B-I-HERZ-134;Thomas Mann an Ida Herz;"Brief, Original, aus Bandol, handschriftlich.
Briefumschlag";09.06.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;92745
B-I-HERZ-135;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, maschinenschriftlich.
Briefumschlag";24.06.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;43535
B-I-HERZ-136;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, handschriftlich.
Briefumschlag";01.07.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;104182
B-I-HERZ-137;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, maschinenschriftlich.
Briefumschlag";10.07.1933;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;88545
B-I-HERZ-138;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, handschriftlich.
Briefumschlag";27.07.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;66087
B-I-HERZ-139;Thomas Mann an Ida Herz;Postkarte, Original, aus Sanary-sur-Mer, handschriftlich;01.08.1933;Daten fehlen;1 Karte/2 S.;Deutsch;97824
B-I-HERZ-140;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, handschriftlich.
Briefumschlag";17.08.1933;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;94165
B-I-HERZ-141;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, handschriftlich.
Briefumschlag";04.09.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;43900
B-I-HERZ-142;Thomas Mann an Ida Herz;"Brief, Original, aus Sanary-sur-Mer, handschriftlich.
Briefumschlag. Zus�tzlich vermerkt: Bleistift-Notizen auf der R�ckseite des Umschlags";17.09.1933;Daten fehlen;2 Bl./4 S. + 1 Briefumschlag/2 S.;Deutsch;59158
B-I-HERZ-143;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";04.10.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;121983
B-I-HERZ-144;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich. 
Zus�tzlich vermerkt: handschriftliche Nachtr�ge.
Briefumschlag";29.10.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;121064
B-I-HERZ-145;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";05.11.1933;Daten fehlen;1 B./2 S. + 1 Briefumschlag;Deutsch;76814
B-I-HERZ-146;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";16.11.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;32547
B-I-HERZ-147;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";21.11.1933;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;29265
B-I-HERZ-148;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;10.12.1933;Daten fehlen;1 Karte/2 S.;Deutsch;62736
B-I-HERZ-149;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;17.12.1933;Daten fehlen;1 Karte/2 S.;Deutsch;34473
B-I-HERZ-150;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;25.12.1933;Daten fehlen;1 Karte/2 S.;Deutsch;47193
B-I-HERZ-151;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;01.01.1934;Daten fehlen;1 Karte/2 S.;Deutsch;76640
B-I-HERZ-152;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";10.01.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;142519
B-I-HERZ-153;Thomas Mann an Ida Herz;Telegramm, Original, aus K�snacht, maschinenschriftlich;17.01.1934;Daten fehlen;1 Bl./1 S.;Deutsch;121110
B-I-HERZ-154;Thomas Mann an Ida Herz;Brief, Original, aus K�snacht, handschriftlich;17.01.1934;Daten fehlen;1 Bl./2 S.;Deutsch;49783
B-I-HERZ-155;Thomas Mann an Ida Herz;Brief, Original, aus K�snacht, handschriftlich;27.01.1934;Daten fehlen;1 Bl./1 S.;Deutsch;82016
B-I-HERZ-156;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Bern, handschriftlich;02.02.1934;Daten fehlen;1 Karte/2 S.;Deutsch;130737
B-I-HERZ-157;Thomas Mann an Ida Herz;Briefkarte, Original, aus K�snacht, handschriftlich;13.02.1934;Daten fehlen;1 Karte/2 S.;Deutsch;64376
B-I-HERZ-158;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Arosa, handschriftlich;27.02.1934;Daten fehlen;1 Karte/2 S.;Deutsch;90614
B-I-HERZ-159;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Arosa, handschriftlich;07.03.1934;Daten fehlen;1 Karte/2 S.;Deutsch;107599
B-I-HERZ-160;Thomas Mann an Ida Herz;Ansichstkarte, Original, aus K�snacht, handschriftlich;04.04.1934;Daten fehlen;1 Karte/2 S.;Deutsch;99118
B-I-HERZ-161;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichem Nachtrag";13.04.1934;Daten fehlen;1 Bl./1 S.;Deutsch;139330
B-I-HERZ-162;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";25.04.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;139914
B-I-HERZ-163;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";05.05.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;99325
B-I-HERZ-164;Thomas Mann an Ida Herz;"Brief von Bord der R. M. S. �Volendam�, handschriftlich.
Briefumschlag";25.05.1934;Daten fehlen;1 Bl./4 S. + 1 Briefumschlag;Deutsch;50311
B-I-HERZ-165;Thomas Mann an Ida Herz;"Brief von Bord der S. S. �Rotterdam�, handschriftlich.
Briefumschlag";09.06.1934;Daten fehlen;2 Bl./6 S. + 1 Briefumschlag;Deutsch;97261
B-I-HERZ-166;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;22.06.1934;Daten fehlen;1 Karte/2 S.;Deutsch;50346
B-I-HERZ-167;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Briefumschlag";14.08.1934;Daten fehlen;2 Bl./3 S. + 1 Briefumschlag;Deutsch;114438
B-I-HERZ-168;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Briefumschlag";25.08.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;111088
B-I-HERZ-169;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;08.09.1934;Daten fehlen;1 Karte/2 S.;Deutsch;93216
B-I-HERZ-170;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";16.09.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;70292
B-I-HERZ-171;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Lugano, handschriftlich;10.10.1934;Daten fehlen;1 Karte/2 S.;Deutsch;31639
B-I-HERZ-172;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";22.10.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;100195
B-I-HERZ-173;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;22.11.1934;Daten fehlen;1 Karte/2 S.;Deutsch;78644
B-I-HERZ-174;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";27.11.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;107405
B-I-HERZ-175;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Briefumschlag";16.12.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;64373
B-I-HERZ-176;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";25.12.1934;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;83762
B-I-HERZ-177;Thomas Mann an Ida Herz;"Brief, Original, aus Wien, handschriftlich.
Briefumschlag";26.01.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;87121
B-I-HERZ-178;Thomas Mann an Ida Herz;"Briefkarte, Original, aus K�snacht, handschriftlich.
Briefumschlag";01.02.1935;Daten fehlen;1 Karte/2 S. + 1 Briefumschlag;Deutsch;27852
B-I-HERZ-179;Thomas Mann an Ida Herz;Brief, Original, aus St. Moritz, handschriftlich;17.02.1935;Daten fehlen;1 Bl./1 S.;Deutsch;138526
B-I-HERZ-180;Thomas Mann an Ida Herz;"Brief ohne Ort, aus K�snacht (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich.
Briefumschlag";04.03.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;113881
B-I-HERZ-181;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;14.03.1935;Daten fehlen;1 Karte/2 S.;Deutsch;84190
B-I-HERZ-182;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;26.03.1935;Daten fehlen;1 Karte/2 S.;Deutsch;76195
B-I-HERZ-183;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;02.04.1935;Daten fehlen;1 Karte/2 S.;Deutsch;30935
B-I-HERZ-184;Thomas Mann an Ida Herz;"Brief ohne Ort, aus K�snacht (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich.
Briefumschlag";21.04.1935;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;70131
B-I-HERZ-185;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;24.04.1935;Daten fehlen;1 Karte/2 S.;Deutsch;82258
B-I-HERZ-186;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;02.05.1935;Daten fehlen;1 Karte/2 S.;Deutsch;117067
B-I-HERZ-187;Thomas Mann an Ida Herz;Brief ohne Ort, aus K�snacht (gem�ss Regest, Ortsangabe wurde recherchiert), maschinenschriftlich;11.05.1935;Daten fehlen;1 Bl./2 S.;Deutsch;90318
B-I-HERZ-188;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Nice [Nizza], handschriftlich;17.05.1935;Daten fehlen;1 Karte/2 S.;Deutsch;47502
B-I-HERZ-189;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";07.06.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;111492
B-I-HERZ-190;Thomas Mann an Ida Herz;Ansichtskarte von Bord der M.S. �Lafayette�, handschriftlich;17.06.1935;Daten fehlen;1 Karte/2 S.;Deutsch;93833
B-I-HERZ-191;Thomas Mann an Ida Herz;Ansichtskarte von Bord der M.S. �Berengaria�, ohne Ort (Poststempel aus Southampton), handschriftlich;07.07.1935;Daten fehlen;1 Karte/2 S.;Deutsch;115881
B-I-HERZ-192;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";15.07.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;73864
B-I-HERZ-193;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";11.08.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;39040
B-I-HERZ-194;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Salzburg, handschriftlich;24.08.1935;Daten fehlen;1 Karte/2 S.;Deutsch;101101
B-I-HERZ-195;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;01.09.1935;Daten fehlen;1 Karte/2 S.;Deutsch;42785
B-I-HERZ-196;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";12.09.1935;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;41496
B-I-HERZ-197;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Beilage: separates Best�tigungsschreiben, maschinenschriftlich.
Briefumschlag";26.11.1935;Daten fehlen;1 Bl./1 S. + 1 Bl./1 S. + 1 Briefumschlag;Deutsch;117406
B-I-HERZ-198;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Arosa, handschriftlich;15.01.1936;Daten fehlen;1 Karte/2 S.;Deutsch;38969
B-I-HERZ-199;Thomas Mann an Ida Herz;"Briefkarte, Original, aus K�snacht, handschriftlich. 
Beilage mit Nachschrift.
Briefumschlag";16.02.1936;Daten fehlen;1 Karte/2 S. + 1 Bl./1 S. + 1 Briefumschlag;Deutsch;82862
B-I-HERZ-200;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;26.02.1936;Daten fehlen;1 Karte/2 S.;Deutsch;102701
B-I-HERZ-201;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";15.03.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;102666
B-I-HERZ-202;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Briefumschlag";09.04.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;59908
B-I-HERZ-203;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus K�snacht, handschriftlich;12.04.1936;Daten fehlen;1 Karte/2 S.;Deutsch;126805
B-I-HERZ-204;Thomas Mann an Ida Herz;Brief, Original, aus K�snacht, handschriftlich;15.05.1936;Daten fehlen;1 Bl./1 S.;Deutsch;139157
B-I-HERZ-205;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;30.05.1936;Daten fehlen;1 Karte/2 S.;Deutsch;122709
B-I-HERZ-206;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Budapest, irrt�mlich datiert: 19.06. (Poststempel vom 12.06.), handschriftlich;11.06.1936;irrt�mlich datiert: 19.06.1936;1 Karte/2 S.;Deutsch;137096
B-I-HERZ-207;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;04.07.1936;Daten fehlen;1 Karte/2 S.;Deutsch;117544
B-I-HERZ-208;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";09.07.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;97008
B-I-HERZ-209;Thomas Mann an Ida Herz;"Brief, Original, aus Sils-Baselgia, Hotel Margna, maschinenschriftlich.
Briefumschlag";25.07.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;97025
B-I-HERZ-210;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";14.08.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;38199
B-I-HERZ-211;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;25.08.1936;Daten fehlen;1 Karte/2 S.;Deutsch;53943
B-I-HERZ-212;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Aiguebelle-Le Lavandou (Var), handschriftlich;09.09.1936;Daten fehlen;1 Karte/2 S.;Deutsch;24581
B-I-HERZ-213;Thomas Mann an Ida Herz;Postkarte, Original, aus Aiguebelle-Le Lavandou, handschriftlich;12.09.1936;Daten fehlen;1 Karte/2 S.;Deutsch;138887
B-I-HERZ-214;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Aiguebelle, handschriftlich;16.09.1936;Daten fehlen;1 Karte/2 S.;Deutsch;114589
B-I-HERZ-215;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;27.09.1936;Daten fehlen;1 Karte/2 S.;Deutsch;23751
B-I-HERZ-216;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;04.10.1936;Daten fehlen;1 Karte/2 S.;Deutsch;120221
B-I-HERZ-217;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;12.10.1936;Daten fehlen;1 Karte/2 S.;Deutsch;130594
B-I-HERZ-218;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;23.10.1936;Daten fehlen;1 Karte/2 S.;Deutsch;23653
B-I-HERZ-219;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Zus�tzlich vermerkt: Stempel mit dem Wort ""diktiert""";29.10.1936;Daten fehlen;2 Bl./3 S.;Deutsch;71240
B-I-HERZ-220;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";04.11.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;109919
B-I-HERZ-221;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";03.12.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;83476
B-I-HERZ-222;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";21.12.1936;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;37054
B-I-HERZ-223;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;25.12.1936;Daten fehlen;1 Karte/2 S.;Deutsch;133327
B-I-HERZ-224;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich, irrt�mlich datiert: 04.01.1936, Jahreszahl daneben (von Thomas Mann) und dar�ber (aus anderer Hand) mit Bleistift korrigiert.
Briefumschlag";04.01.1937;irrt�mlich datiert: 4.1.1936;1 Bl./2 S. + 1 Briefumschlag;Deutsch;124844
B-I-HERZ-225;Thomas Mann an Ida Herz;Ansichtskarte, Original, aus Arosa, handschriftlich;22.01.1937;Daten fehlen;1 Karte/2 S.;Deutsch;105735
B-I-HERZ-226;Thomas Mann an Ida Herz;"Brief, Original, aus Arosa, handschriftlich.
Briefumschlag";04.02.1937;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;25566
B-I-HERZ-227;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";08.03.1937;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;50335
B-I-HERZ-228;Thomas Mann an Ida Herz;Postkarte, Original, aus K�snacht, handschriftlich;23.03.1937;Daten fehlen;1 Karte/2 S.;Deutsch;41079
B-I-HERZ-229;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, maschinenschriftlich.
Zus�tzlich vermerkt: handschriftlicher Nachtrag.
Briefumschlag";01.04.1937;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;64546
B-I-HERZ-230;Thomas Mann an Ida Herz;"Brief von Bord der S. S. �Ile de France� (Poststempel aus New York), handschriftlich.
Briefumschlag";27.04.1937;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;139390
B-I-HERZ-231;Thomas Mann an Ida Herz;"Brief, Original, aus K�snacht, handschriftlich.
Briefumschlag";15.05.1937;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;134731
